지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),평균 상대습도(%),합계 일조시간(hr),평균 풍속(m/s),최다 풍향(16방위)
156,광주,2018,14.6,-11.5,20180127,38.5,20180815,10.3,20.1,1016.9,1427.9,108.5,70.6,2372.5,1.6,50
156,광주,2019,14.7,-5.9,20190116,34.8,20190804,10.5,20,1016.6,1085.9,88.1,69.2,2290.1,1.5,50
159,부산,2015,15.4,-7.8,20150209,33.5,20150810,12.2,19.5,1016,1396.7,87.5,67.3,2534.8,3.1,50
159,부산,2016,15.7,-10.2,20160124,37.3,20160814,12.5,19.8,1015.9,1760.2,119.4,66.1,2514.9,3.1,50
159,부산,2017,15.2,-7.7,20170115,36.2,20170806,11.7,19.6,1015.9,1014.4,264.1,60.3,2718.1,3.2,50
159,부산,2018,15.1,-9.9,20180126,36.4,20180805,11.8,19.2,1016.2,1778.6,131.1,63.2,2667.8,3.2,50
159,부산,2019,15.7,-4.4,20190116,35,20190813,12.5,19.8,1015.7,1623.2,172.2,62.9,2691.3,3.1,50
162,통영,2015,14.8,-6.7,20150209,34.2,20150807,11.3,19.3,1016.3,1463.8,118.6,73.4,2315.5,2.3,360
162,통영,2016,15.3,-8.6,20160124,35.2,20160821,11.9,19.5,1016.3,1993.7,196.7,71,2246.2,2.4,360
162,통영,2017,14.9,-7.3,20170115,36.3,20170806,11.1,19.4,1016.3,1249.4,273.2,69.3,2604.5,2.4,20
162,통영,2018,14.8,-9,20180126,36.9,20180729,11.2,19.2,1016.6,2118.7,151.7,70.3,2400,2.4,360
162,통영,2019,15.3,-4.2,20190116,35.9,20190814,11.6,19.8,1016.1,1684.6,170.1,69,2416,2.3,360
165,목포,2015,14.4,-6.1,20150201,35.5,20150807,11,18.6,1016.7,1041.6,62.8,79.8,2218.3,3,360
165,목포,2016,14.8,-9.1,20160124,36,20160811,11.5,18.8,1016.8,1398,118.3,82.1,2157.8,3.1,360
165,목포,2017,14.3,-6.5,20170115,34.5,20170805,10.8,18.5,1017.2,722.5,66,81.3,2432,3.5,360
165,목포,2018,14.4,-11.3,20180124,36.7,20180802,11.1,18.4,1017,1363.3,151.9,76.1,2397.5,3.4,360
165,목포,2019,14.3,-4.1,20191206,33.8,20190808,11.1,18.2,1016.6,1248.4,107,72.3,2390.7,3.4,360
168,여수,2015,14.9,-7.5,20150209,32.9,20150807,12.1,18.2,1016,1250.5,102.1,60.3,2450.1,3.9,70
168,여수,2016,15.3,-8.9,20160124,34.4,20160815,12.5,18.6,1016,1616.6,180.9,62.4,2371.6,3.9,70
168,여수,2017,15,-6.8,20170115,35.9,20170807,11.9,18.8,1016.2,1019.6,93.5,63.5,2686.3,3.9,230
168,여수,2018,14.9,-10.3,20180126,35,20180729,12,18.4,1016.3,1578.7,144.4,68.3,2570.3,3.9,70
168,여수,2019,15.4,-4.8,20190116,33.9,20190813,12.5,19,1015.8,1529.9,133.2,67.5,2556.9,3.8,230
169,흑산도,2015,13.6,-4.3,20150208,32.4,20150729,11.3,16.7,1016.4,1085.8,93.9,80.6,2031.1,4.9,340
169,흑산도,2016,13.7,-8.7,20160124,31.6,20160809,11.3,16.9,1016.4,1183.1,136.1,86.2,1922.9,5,360
169,흑산도,2017,13.5,-2.7,20170210,33.7,20170805,10.8,17.2,1016.8,746.9,68.5,86.5,2133.5,5,360
169,흑산도,2018,13.8,-6.7,20180124,34.9,20180815,11.4,17.2,1016.6,1516.2,181.7,81.6,1830.1,5.1,360
169,흑산도,2019,14.1,-1.2,20190208,29.9,20190803,11.7,17.4,1016.3,1079.1,92.5,77.3,2104.4,5,360
170,완도,2015,14.5,-5.4,20150201,33.1,20150809,10.9,18.9,1016.5,1638.5,102.5,75.2,2254.6,2.8,140
170,완도,2016,15.1,-8,20160124,35.6,20160812,11.6,19.2,1016.5,1608.4,124.8,80.4,2052.6,2.5,250
170,완도,2017,14.9,-5.1,20171214,35.4,20170806,11,19.6,1016.8,958.1,164.8,75.1,2311,2.4,340
170,완도,2018,14.8,-8.2,20180124,35.7,20180806,11.1,19.2,1016.7,1431.4,123.3,74.1,2210.1,2.4,320
170,완도,2019,15,-4.1,20190210,33.5,20190814,11.3,19.5,1016.3,1678.8,155.6,71.2,2144.4,2.3,320
172,고창,2015,13.4,-13,20150103,35.6,20150807,8.8,18.7,1017,956.1,66.4,80.6,2025.7,2.5,340
172,고창,2016,14,-12.4,20160124,35.7,20160811,9.7,19.1,1016.9,1090.9,113.3,82,2063.5,2.7,320
172,고창,2017,13.1,-9.4,20170126,35.3,20170805,8.1,18.7,1017.3,901.9,81.2,81.2,2414.3,2.5,320
172,고창,2018,13.3,-15.8,20181229,37.8,20180802,8.5,18.8,1017.2,1316.9,100,79.6,2394.3,2.7,50
172,고창,2019,13.4,-8.3,20190127,35.1,20190803,8.6,18.9,1016.9,1099.5,81.9,76.1,2318.1,2.4,320
174,순천,2015,13.2,-9.3,20150209,35.4,20150730,8.1,19.3,1016.2,1331.5,166,70.7,2152.4,1.7,340
174,순천,2016,13.9,-13.4,20160125,37.8,20160812,9,19.7,1016.1,1614.6,149.4,68.1,2082.9,1.7,320
174,순천,2017,12.7,-10.2,20171214,36.4,20170805,7.1,19.3,1016.4,883.4,86.1,70.3,2381.8,1.8,320
174,순천,2018,12.7,-12.5,20180208,35.8,20180815,7.3,18.8,1016.5,1532.4,131.3,76,2290.5,1.8,320
174,순천,2019,13.1,-8.5,20190104,33.8,20190814,7.9,19.3,1016,1568.2,194,74.4,2254.8,1.9,320
175,진도(첨찰산),2015,11.7,-8.4,20150209,31.8,20150808,8.6,16.5,1016.3,1451.2,102,78.2,2280.7,4.7,340
175,진도(첨찰산),2016,12.4,-12.7,20160124,33.4,20160813,9.3,17,1016.3,1454,93.7,80,2033,4.8,340
175,진도(첨찰산),2017,12.4,-7.7,20170131,34,20170724,9,17.4,1016.6,814.5,98.9,72.5,2311.6,4.7,20
175,진도(첨찰산),2018,12.2,-13.8,20180124,35.6,20180801,9.1,17.1,1016.6,1394.6,140.9,77,2206.8,4.3,360
175,진도(첨찰산),2019,,-7.6,20190109,32.6,20190805,,,,787.2,106,,1345.5,,360
176,대구(기),2015,,-9.4,20150209,34.3,20150526,,,,188.5,36,,1137,,290
177,홍성,2015,,-7.6,20151228,21.5,20151106,,,,222.3,56,,197.5,,360
177,홍성,2016,13.2,-15.8,20160125,34.9,20160820,8.1,18.7,1015.9,760.4,69,76.9,2558.1,1.6,180
177,홍성,2017,12.6,-14.2,20170124,35.2,20170805,7.3,18.1,1016.3,1009.5,130.5,75.3,2531.2,1.6,230
177,홍성,2018,12.4,-16.6,20180112,37,20180803,7.3,17.8,1016.9,1299,158.4,78.3,2556.2,1.5,20
177,홍성,2019,12.7,-10.9,20190109,34.7,20190810,7.5,18.3,1016.4,922.3,132.8,74,2436.5,1.4,160
184,제주,2015,16.7,-.7,20150208,36.7,20150729,14.1,19.8,1016.5,1728.3,98.9,70.9,1826.6,3,320
184,제주,2016,17,-5.8,20160124,35.5,20160728,14.4,20.2,1016.6,1416.4,158.5,71.9,1718.4,3.1,20
184,제주,2017,16.8,-1.1,20170210,37,20170721,14,20,1017,773.3,67.5,67.5,1981.3,3.1,320
184,제주,2018,16.6,-2.6,20180125,35.3,20180814,13.9,19.8,1016.7,1769.5,310,71.1,1939.7,3.1,360
184,제주,2019,16.8,1,20190212,35.4,20190730,14.2,19.9,1016.5,1979.9,187.7,69.8,1909.9,3,320
185,고산,2015,15.6,-1.4,20150208,33.4,20150710,13.2,18.5,1016.4,1546.4,115.5,77.7,2075.3,6.2,340
185,고산,2016,16.2,-6.2,20160124,34,20160813,13.8,19.2,1016.4,1293.1,70.5,78.6,1911.3,6.3,340
185,고산,2017,16,-1.4,20170210,35.1,20170805,13.4,19.1,1016.6,861.3,109.8,77.2,2230.2,6.5,340
185,고산,2018,16.1,-2.7,20180124,35.5,20180802,13.6,19.2,1016.1,1345.8,103.1,79.5,2237.6,,50
185,고산,2019,16.2,1.3,20190209,32.9,20190808,13.7,19.2,1015.9,1560.9,109.9,78.3,2236,5.4,50
188,성산,2015,15.7,-2.8,20150210,32.9,20150729,12.2,19.3,1016,2542.2,169.7,75.7,2105.6,2.9,290
188,성산,2016,16.3,-6.9,20160124,35.3,20160815,13.1,19.8,1016,2255.9,127.2,76.4,1915.7,3,290
188,성산,2017,15.9,-3.8,20170213,34.3,20170721,12.3,19.8,1016.4,1917.7,220.6,70.6,2255.5,3.1,290
188,성산,2018,15.7,-3.8,20180205,34.7,20180810,12.3,19.3,1016.5,2146.7,181,74,2139.4,3.1,290
188,성산,2019,16.1,-.7,20190202,32.5,20190814,12.5,19.8,1016.2,2658.1,262.7,70.9,2187.6,3.1,360
189,서귀포,2015,16.7,-.8,20150208,31.5,20150626,13.9,20,1015.6,2618.1,220.5,72.6,2233.6,2.1,50
189,서귀포,2016,17,-6.4,20160124,33.2,20160822,14.3,20.1,1015.6,2204.5,267.7,75.7,1976,1.7,50
189,서귀포,2017,17,-1.6,20170210,35.8,20170725,14,20.3,1015.9,1334,141.9,72.3,2323.8,1.8,360
189,서귀포,2018,16.7,-3,20180112,33.5,20180802,13.9,20,1015.6,2166.2,199.1,78.7,2022.9,1.8,50
189,서귀포,2019,17.3,2,20190117,32.2,20190806,14.4,20.5,1015.5,2210.3,197.3,77.9,2239.9,1.8,50
192,진주,2015,13.4,-11.5,20150209,35.5,20150807,8,19.6,1016.5,1324.8,77,68.1,2460.4,1.1,20
192,진주,2016,13.8,-12.8,20160125,37.5,20160811,8.6,19.9,1016.5,1734.6,174.5,66.3,2282.4,1.1,360
192,진주,2017,13.5,-12,20171214,37.1,20170807,7.5,20.3,1016.5,766.7,74.4,61.2,2616.3,1.2,360
192,진주,2018,13.4,-14.3,20180207,37.9,20180727,7.7,19.8,1016.7,1605.4,165.8,65.1,2427.1,1.1,360
192,진주,2019,13.9,-10.1,20190127,35.7,20190805,8.3,20.5,1016.2,1481.6,139.6,69.3,2620.9,1,360
201,강화,2015,12,-12.1,20150209,33.5,20150807,7.1,17.1,1016.7,647.9,69,66.3,2381.3,2.1,250
201,강화,2016,12.1,-17.4,20160124,33.9,20160822,7.4,17.2,1016.8,1100.9,98,64.4,2291,2,250
201,강화,2017,11.5,-14.3,20170124,33.4,20170805,6.6,16.5,1017,809.3,108.5,65.3,2434.2,2.1,250
201,강화,2018,11.3,-19,20180127,35.4,20180815,6.5,16.4,1017.3,1072.3,147.5,66,2432.2,2,250
201,강화,2019,12.2,-12.6,20190116,35,20190719,7.1,17.4,1016.8,1079.3,216.5,66.3,2472.6,2,250
202,양평,2015,12.9,-13.5,20150103,36.1,20150807,7.6,18.9,1016.6,801.5,69.5,67.3,2228.2,1.5,290
202,양평,2016,12.9,-17.8,20160125,36.1,20160808,7.9,18.8,1016.7,935.9,125,65.8,2141.7,1.5,290
202,양평,2017,12.2,-17,20170124,36.3,20170805,6.8,18.1,1016.8,1188.4,126,63.2,2316.8,1.6,320
202,양평,2018,12.1,-19.9,20180127,40.1,20180801,6.8,18.2,1017.1,1355.4,130.5,63.2,2319.8,1.5,320
202,양평,2019,12.7,-13.6,20190103,36.4,20190805,7.4,18.8,1016.7,1038.6,95,64.5,2202.7,1.4,320
203,이천,2015,12.4,-14,20150103,36.3,20150807,6.8,18.7,1016.6,842.5,56,62.4,2372,1.4,250
203,이천,2016,12.7,-18.5,20160125,36.3,20160806,7.2,19,1016.7,870.2,83.2,62.6,2311.3,1.3,250
203,이천,2017,11.7,-17.4,20170124,37.1,20170805,5.9,18.2,1016.9,1020,73.9,62.1,2498,1.4,250
203,이천,2018,11.7,-19.2,20180127,39.4,20180801,6,18.3,1017.4,1425.5,168.4,64.5,2502.9,1.4,250
203,이천,2019,12.3,-14.6,20190109,37.3,20190805,6.6,18.9,1017,997.5,63.8,66.9,2283.1,1.3,250
211,인제,2015,11.1,-16,20150209,35.4,20150807,5.8,17.6,1016.6,755.7,49.5,67.5,2260.6,1.8,180
211,인제,2016,11.2,-19,20160124,35,20160808,6,17.4,1016.6,1185.7,252,65,2191.3,1.8,160
211,인제,2017,10.5,-17.3,20171213,35.8,20170805,5.2,16.8,1016.7,1209.3,89.5,62.1,2240.3,1.7,160
211,인제,2018,10.1,-21.3,20180125,37.7,20180801,4.8,16.5,1017.2,1214.3,171.5,65.3,2273,1.8,160
211,인제,2019,11.2,-15.4,20190103,36,20190805,5.8,17.6,1016.7,779.3,77.5,67.2,2083.9,1.6,160
212,홍천,2015,12.2,-16.4,20150209,37.1,20150808,6.6,19,1016.7,740,62.5,64.8,2459.6,1.2,70
212,홍천,2016,12.3,-19.3,20160124,36.6,20160812,6.9,18.9,1016.7,967.9,108.5,65.5,2378.1,1.2,270
212,홍천,2017,11.3,-18.2,20170124,37.2,20170805,5.7,18,1016.7,1192.2,124.5,65.3,2502.4,1.2,50
212,홍천,2018,11.2,-21.7,20180126,41,20180801,5.6,18,1017.1,1348.6,158.5,67.3,2513.4,1.2,50
212,홍천,2019,12.1,-14.9,20190103,37.1,20190810,6.6,19,1016.5,871.4,70,67.3,2275.7,1.1,50
216,태백,2015,9.8,-15.8,20150209,33.1,20150807,4.8,15.4,1015.7,882.8,115.9,66.6,1989.2,1.6,230
216,태백,2016,9.8,-20.4,20160124,34.6,20160812,4.8,15.3,1015.6,1141.4,151.5,69.4,1950.1,1.6,230
216,태백,2017,9,-16.3,20170125,33.1,20170713,3.9,14.5,1015.5,933.8,117.1,65.3,2133,1.6,230
216,태백,2018,9.3,-20.1,20180127,35.7,20180721,4.2,14.8,1016,1489.3,102.5,66.9,2064.6,1.6,230
216,태백,2019,9.9,-14.6,20190109,33,20190802,4.8,15.6,1015.6,1169.8,105.6,67.3,2102.6,1.5,230
217,정선군,2015,11.4,-14.4,20150108,36.3,20150807,6.3,17.9,1016.6,724.6,78,64,2036.7,1.7,340
217,정선군,2016,11.5,-18.3,20160124,35.9,20160805,6.5,17.9,1016.7,1174.2,154,64.4,1986.1,1.5,340
217,정선군,2017,10.8,-17.2,20170124,35.5,20170806,5.5,17.3,1016.7,972.5,74,63.8,2034.9,1.7,340
217,정선군,2018,10.6,-20.1,20180127,39.6,20180803,5.4,17.2,1017.2,1420.9,84.5,65.7,1889.6,1.7,20
217,정선군,2019,11.2,-13.8,20190109,35.6,20190802,5.9,17.9,1016.7,798.9,55.5,65.3,1753.9,1.7,20
221,제천,2015,11.1,-17.1,20150209,36,20150807,5.1,17.8,1016.6,803.4,129.5,68,2242.7,1.5,250
221,제천,2016,11.3,-20.7,20160124,35.4,20160806,5.4,17.8,1016.7,1107.9,176,67.6,2135.1,1.4,250
221,제천,2017,10.5,-18.9,20170124,36.2,20170805,4.3,17.2,1016.4,1070.7,83.5,66.3,2319.6,1.6,250
221,제천,2018,10.5,-21.3,20180127,39.4,20180801,4.5,17.4,1016.7,1409.3,130,66.9,2337.5,1.6,250
221,제천,2019,11.1,-16.1,20190109,36.5,20190805,4.9,18.2,1016.6,843,52.5,66.6,2207.7,1.5,250
226,보은,2015,12,-13.7,20150103,35.2,20150807,6.4,18.6,1016.8,817,52.5,69.8,2097.8,1.4,320
226,보은,2016,12.3,-18.2,20160124,35.6,20160819,6.7,18.8,1016.9,1291.6,196.5,68.6,2077.7,1.4,320
226,보은,2017,11.5,-16.9,20170125,35.8,20170805,5.5,18.4,1017.1,1322.8,91,67.5,2285.6,1.4,320
226,보은,2018,11.6,-19.7,20180111,38.2,20180815,5.7,18.5,1017.3,1409.5,117,70.4,2257.5,1.3,320
226,보은,2019,12.2,-13.1,20190127,35.8,20190804,6.1,19,1016.6,1046.2,82,70.7,2126.8,1.3,320
232,천안,2015,13,-12.8,20150209,36.3,20150807,7.9,18.8,1016,728,49,71.7,2124.7,1.9,270
232,천안,2016,12.7,-18.6,20160125,35.1,20160806,7.4,18.6,1016.5,1004.8,89.2,69.9,2223.8,1.5,270
232,천안,2017,11.8,-15.9,20170124,35.2,20170805,6.1,18,1016.9,1305,232.7,64.1,2473.1,1.5,90
232,천안,2018,11.8,-20.6,20180112,37.8,20180815,6.2,18,1017.1,1163.4,120.1,65.3,2396.4,1.6,90
232,천안,2019,12,-13.2,20190109,34.3,20190803,6.3,18.1,1016.6,845.6,132.6,,2256.6,1.3,290
235,보령,2015,13.3,-9.7,20150209,33.8,20150807,9.2,18,1016.5,785.4,36.5,76.9,2298.6,1.7,20
235,보령,2016,13.6,-13.6,20160124,33.9,20160811,9.5,18.3,1016.5,792.8,69.1,78.3,2245.2,1.5,20
235,보령,2017,12.8,-10.4,20170115,35.2,20170805,8.5,17.5,1016.9,856.2,80.2,78.8,2413.2,1.5,20
235,보령,2018,13,-14.8,20180127,36.4,20180816,8.8,17.6,1016.7,1337.2,196.2,76,2289.9,1.5,20
235,보령,2019,13.2,-8,20190116,35.5,20190810,8.9,18.1,1015.9,821.9,92.1,70.4,1977.5,1.4,20
236,부여,2015,12.9,-14.2,20150103,35.8,20150807,7.8,19,1016.7,848.8,60,75.7,2081.7,1.3,20
236,부여,2016,13.3,-17.5,20160125,36.2,20160812,8.2,19.4,1016.8,1129.3,157,74.3,2082.5,1.3,230
236,부여,2017,12.5,-13.3,20170124,36.5,20170805,7,18.9,1017.1,1112,107,71.1,2313.9,1.3,320
236,부여,2018,12.7,-16.6,20180127,39.3,20180815,7.3,19.1,1017.2,1457.9,187,71.4,2344,1.3,20
236,부여,2019,12.9,-10.9,20190127,36.4,20190805,7.4,19.5,1017,992,92.5,72,2172.6,1.3,230
238,금산,2015,12.6,-13.2,20150103,35.7,20150807,7.1,18.8,1016.6,877.6,77.5,73.1,2022.2,1.2,270
238,금산,2016,12.7,-17.4,20160125,35.7,20160812,7.3,19,1016.7,1325.6,151.5,71.8,2070.1,1.2,270
238,금산,2017,11.8,-15,20170124,36,20170806,6,18.5,1016.9,967.6,88.5,68.6,2250,1.3,270
238,금산,2018,12,-17.5,20180111,38.8,20180802,6.2,18.6,1017,1397.2,168.5,68.3,2265.5,1.3,270
238,금산,2019,12.4,-12.5,20190127,36.1,20190804,6.6,19.2,1016.8,982.6,75.5,68.7,2110.6,1.2,270
239,세종,2019,,-9.4,20191206,35.5,20190805,,,,959.3,78.3,,1221.7,,90
243,부안,2015,13.5,-12.2,20150103,35.5,20150807,9.2,18.7,1016.8,924.1,52,71.6,2107.5,1.7,320
243,부안,2016,13.8,-15.6,20160125,35.1,20160820,9.5,19,1016.9,1075.5,93,72.2,2102.3,1.7,320
243,부안,2017,13.2,-9.7,20171214,35.8,20170805,8.6,18.7,1017.3,906.5,121,70.3,2322.7,1.7,290
243,부안,2018,13.3,-14.6,20180207,38,20180801,8.8,18.8,1017.2,1359,159,71.1,2348.2,1.7,290
243,부안,2019,13.7,-8.2,20190127,35.8,20190810,9.1,19.1,1017,1087.5,85,72.5,2386.6,1.6,290
244,임실,2015,12.1,-15,20150103,35.6,20150807,6.5,18.6,1016.8,843.1,73,71.8,1964.9,1.3,320
244,임실,2016,12.5,-20.6,20160125,36.3,20160821,7,19.1,1016.9,1326.5,112.5,72.4,1965.9,1.3,320
244,임실,2017,11.6,-14.9,20171214,36.5,20170806,5.6,18.6,1017.2,958.3,61,70.5,2182.1,1.2,320
244,임실,2018,12,-20,20180112,37.5,20180815,6,18.8,1017.1,1468.2,131.5,71.3,2205.6,1.2,320
244,임실,2019,12.2,-12.4,20190127,35.3,20190805,6.4,19.1,1016.7,1069.7,93.5,72.1,2095.8,1.3,320
245,정읍,2015,14.1,-10.1,20150209,36.6,20150807,9.5,19.7,1016.7,988.5,64.5,74.5,1690,1.4,110
245,정읍,2016,14.3,-14.7,20160125,36.4,20160811,9.7,19.7,1016.8,1279.5,125.5,72.3,2248.8,1.4,110
245,정읍,2017,13.1,-10.9,20171214,35.8,20170805,8.1,18.8,1017,938.2,85.2,73.1,2415.3,1.5,360
245,정읍,2018,13.1,-14.7,20180207,38.4,20180802,8.4,18.7,1016.9,1305,93.7,78.6,2391.5,1.6,20
245,정읍,2019,13.3,-8,20190127,34.7,20190810,8.5,18.8,1016.6,1246.7,131.1,75.3,2023.6,,360
247,남원,2015,12.8,-11.9,20150209,35.9,20150807,7.8,18.8,1016,869,67.2,68,2148.7,1.8,50
